Investigation Type,Latitude,Longitude,Aircraft Category,Make,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Weather Condition,
 Accident ,33.675556,-117.868056, Airplane , Piper , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,49.435,-2.600278,, Cessna , No ,,, Unknown ,, 
 Accident ,45.866111,-95.394444, Airplane , Lerohl , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,35.542222,-120.522778, Airplane , Cirrus Design Corp. , No ,1, Reciprocating , Personal , VMC , 
 Accident ,34.688611,-87.92, Helicopter , BELL , No ,1, Turbo Shaft , Other Work Use , VMC , 
 Accident ,38.533889,-106.933056, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,40.799722,-90.438611, Airplane , Ercoupe (Eng & Research Corp.) , No ,1, Reciprocating , Personal , VMC , 
 Accident ,46.8,-88.36, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,28.958056,-89.258889, Helicopter , Bell , No ,1, Turbo Shaft ,, IMC , 
 Accident ,32.557222,-97.485555, Gyrocraft , ALTHOUSE , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,-37.829723,144.896389,, Robinson , No ,,, Instructional , VMC , 
 Accident ,29.935,-95.639444, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,33.572778,-117.234444, Airplane , Hein , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,44.737222,-85.5275, Airplane , CESSNA , No ,2, Reciprocating , Personal , IMC , 
 Incident ,,,, Gulfstream American , No ,,, Unknown , VMC , 
 Incident ,,,, Raytheon Corporate Jets , No ,,,, VMC , 
 Accident ,27.390555,-82.552778, Airplane , Mooney , No ,1, Reciprocating , Personal , VMC , 
 Incident ,39.203889,-106.868056, Airplane , PIPER , No ,1, Reciprocating , Personal , VMC , 
 Accident ,40.5875,-75.019167, Airplane , CESSNA , No ,1, Reciprocating , Personal , VMC , 
 Accident ,10.121667,-66.771667,, Cessna , No ,,, Personal , VMC , 
 Accident ,65.765278,-147.390555, Airplane , PIPER , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,33.871945,-117.979723, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,42.328056,-72.611389, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
